Category,Followers,GMV,Partition types,Depths,Partitions,Pages,Attempts,Rows,New,Duplicates,Duplicate %,Unique %,New/Page,New/Attempt,First Run WIB,Last Run WIB,Comparison class,Historical GMV-All pages,Historical GMV-All rows,Historical GMV-All new,Historical GMV-All unique %,Historical GMV-All new/page
Peralatan Dapur → Peralatan Teh & Kopi,"2,500–2,624",G1 Low,ADAPTIVE_GMV,4,1,20,505,400,363,37,9.25%,90.75%,18.1500,0.7188,26/08/2026 12:46:48 WIB,26/08/2026 13:29:58 WIB,EXACT MATCH,20,400,186,46.50%,9.3000
Peralatan Dapur → Peralatan Teh & Kopi,"2,500–2,624",G2 Medium,ADAPTIVE_GMV,4,1,17,287,337,47,290,86.05%,13.95%,2.7647,0.1638,26/08/2026 14:15:33 WIB,26/08/2026 14:43:11 WIB,EXACT MATCH,20,400,186,46.50%,9.3000
Peralatan Dapur → Peralatan Teh & Kopi,"2,500–2,624",G3 High,ADAPTIVE_GMV,4,1,5,5,100,3,97,97.00%,3.00%,0.6000,0.6000,26/08/2026 13:30:26 WIB,26/08/2026 13:32:21 WIB,EXACT MATCH,20,400,186,46.50%,9.3000
Peralatan Dapur → Peralatan Teh & Kopi,"2,500–2,624",G4 Very High,ADAPTIVE_GMV,4,1,1,6,4,0,4,100.00%,0.00%,0.0000,0.0000,26/08/2026 14:49:19 WIB,26/08/2026 14:49:19 WIB,EXACT MATCH,20,400,186,46.50%,9.3000
Peralatan Dapur → Peralatan Teh & Kopi,"2,625–2,749",G1 Low,ADAPTIVE_GMV,4,1,20,434,400,350,50,12.50%,87.50%,17.5000,0.8065,26/08/2026 15:31:31 WIB,26/08/2026 16:11:17 WIB,EXACT MATCH,20,400,147,36.75%,7.3500
Peralatan Dapur → Peralatan Teh & Kopi,"2,625–2,749",G2 Medium,ADAPTIVE_GMV,4,1,16,342,302,37,265,87.75%,12.25%,2.3125,0.1082,26/08/2026 17:53:07 WIB,26/08/2026 18:35:54 WIB,EXACT MATCH,20,400,147,36.75%,7.3500
Peralatan Dapur → Peralatan Teh & Kopi,"2,625–2,749",G3 High,ADAPTIVE_GMV,4,1,6,187,120,2,118,98.33%,1.67%,0.3333,0.0107,26/08/2026 16:12:19 WIB,26/08/2026 16:27:07 WIB,EXACT MATCH,20,400,147,36.75%,7.3500
Peralatan Dapur → Peralatan Teh & Kopi,"2,625–2,749",G4 Very High,ADAPTIVE_GMV,4,1,1,17,2,0,2,100.00%,0.00%,0.0000,0.0000,26/08/2026 19:12:02 WIB,26/08/2026 19:12:02 WIB,EXACT MATCH,20,400,147,36.75%,7.3500
Perlengkapan Rumah → Home Organizer,600–799,G1 Low,V2_SEED,0,1,21,419,401,400,1,0.25%,99.75%,19.0476,0.9547,26/08/2026 13:35:00 WIB,26/08/2026 14:14:39 WIB,EXACT MATCH,21,403,85,21.09%,4.0476
Perlengkapan Rumah → Home Organizer,600–799,G2 Medium,V2_SEED,0,1,20,189,399,354,45,11.28%,88.72%,17.7000,1.8730,26/08/2026 15:02:37 WIB,26/08/2026 15:24:55 WIB,EXACT MATCH,21,403,85,21.09%,4.0476
Perlengkapan Rumah → Home Organizer,600–799,G3 High,V2_SEED,0,1,20,348,400,44,356,89.00%,11.00%,2.2000,0.1264,26/08/2026 16:31:12 WIB,26/08/2026 17:12:20 WIB,EXACT MATCH,21,403,85,21.09%,4.0476
Perlengkapan Rumah → Home Organizer,600–799,G4 Very High,V2_SEED,0,1,1,2,6,0,6,100.00%,0.00%,0.0000,0.0000,26/08/2026 19:47:12 WIB,26/08/2026 19:47:12 WIB,EXACT MATCH,21,403,85,21.09%,4.0476
Perlengkapan Rumah → Home Organizer,800–999,G1 Low,V2_SEED,0,1,21,130,403,399,4,0.99%,99.01%,19.0000,3.0692,26/08/2026 19:50:44 WIB,26/08/2026 20:17:44 WIB,EXACT MATCH,21,403,27,6.70%,1.2857
Perlengkapan Rumah → Home Organizer,800–999,G2 Medium,V2_SEED,0,1,20,75,399,364,35,8.77%,91.23%,18.2000,4.8533,26/08/2026 20:19:07 WIB,26/08/2026 20:40:02 WIB,EXACT MATCH,21,403,27,6.70%,1.2857
Perlengkapan Rumah → Home Organizer,800–999,G3 High,V2_SEED,0,1,20,65,400,21,379,94.75%,5.25%,1.0500,0.3231,26/08/2026 20:40:56 WIB,26/08/2026 21:01:08 WIB,EXACT MATCH,21,403,27,6.70%,1.2857
Perlengkapan Rumah → Home Organizer,800–999,G4 Very High,V2_SEED,0,1,1,11,17,1,16,94.12%,5.88%,1.0000,0.0909,26/08/2026 21:02:49 WIB,26/08/2026 21:02:49 WIB,EXACT MATCH,21,403,27,6.70%,1.2857
Perlengkapan Rumah → Home Organizer,"1,000–1,124",G1 Low,ADAPTIVE_FOLLOWER,2,1,21,65,402,179,223,55.47%,44.53%,8.5238,2.7538,27/08/2026 00:45:39 WIB,27/08/2026 00:59:07 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"1,000–1,124",G2 Medium,ADAPTIVE_FOLLOWER,2,1,20,71,399,93,306,76.69%,23.31%,4.6500,1.3099,27/08/2026 03:13:12 WIB,27/08/2026 03:36:46 WIB,APPROXIMATE / NOT DIRECTLY COMPARABLE,,,,,
Perlengkapan Rumah → Home Organizer,"1,000–1,249",G1 Low,ADAPTIVE_FOLLOWER,1,1,21,72,404,108,296,73.27%,26.73%,5.1429,1.5000,26/08/2026 22:35:43 WIB,26/08/2026 23:22:44 WIB,EXACT MATCH,42,808,179,22.15%,4.2619
Perlengkapan Rumah → Home Organizer,"1,000–1,249",G2 Medium,ADAPTIVE_FOLLOWER,1,1,20,123,400,79,321,80.25%,19.75%,3.9500,0.6423,27/08/2026 00:59:51 WIB,27/08/2026 01:19:54 WIB,EXACT MATCH,42,808,179,22.15%,4.2619
Perlengkapan Rumah → Home Organizer,"1,000–1,249",G3 High,ADAPTIVE_FOLLOWER,1,1,20,150,400,27,373,93.25%,6.75%,1.3500,0.1800,27/08/2026 04:42:59 WIB,27/08/2026 05:02:08 WIB,EXACT MATCH,42,808,179,22.15%,4.2619
Perlengkapan Rumah → Home Organizer,"1,000–1,499",G1 Low,V2_SEED,0,1,21,94,405,292,113,27.90%,72.10%,13.9048,3.1064,26/08/2026 21:03:53 WIB,26/08/2026 21:40:10 WIB,EXACT MATCH,21,405,245,60.49%,11.6667
Perlengkapan Rumah → Home Organizer,"1,000–1,499",G2 Medium,V2_SEED,0,1,20,223,400,179,221,55.25%,44.75%,8.9500,0.8027,26/08/2026 23:24:29 WIB,27/08/2026 00:00:35 WIB,EXACT MATCH,21,405,245,60.49%,11.6667
Perlengkapan Rumah → Home Organizer,"1,000–1,499",G3 High,V2_SEED,0,1,20,157,400,22,378,94.50%,5.50%,1.1000,0.1401,27/08/2026 02:11:59 WIB,27/08/2026 02:34:23 WIB,EXACT MATCH,21,405,245,60.49%,11.6667
