CREATOR DATABASE — SPECIFIC GMV STRATEGY ANALYSIS
Generated: 29/08/2026 10:46:20 WIB
Timezone for daily reporting: Indonesia/WIB (Asia/Jakarta)
Functional strategy change (STRATEGY_CHANGE_TIME): 26/08/2026 12:45:35 WIB / 2026-08-26T05:45:35.507Z
Durable evidence: GMV_ALL_DISABLED_BY_STRATEGY event at 05:45:35.507 UTC, followed by the first specific-GMV partition start at 05:46:05.959 UTC. Migration seeds (21,800) were materialized earlier at 05:06:28.942 UTC; 5,456 GMV-All partitions are retained disabled history.
Scope: read-only snapshot; main page metrics use COMMITTED receipts so uncommitted/staged pages do not inflate discovery results. Marketplace attempt outcomes are event-derived (success + throttle + error).

============================================================
EXECUTIVE SUMMARY
============================================================
Post-change committed window: 26/08/2026 12:45:35 WIB to 29/08/2026 10:41:51 WIB (69h 56m calendar; 63h 22m active-runtime estimate).
Post-change: 23,488 new creators from 66,114 returned rows / 3,347 committed pages; unique 35.5%, duplicate 64.5%; 8,060.2 new/day calendar and 8,897.1 new/day active runtime.
Matched old GMV-All window: 23/08/2026 14:49:19 WIB to 26/08/2026 12:45:35 WIB; 10,034 new creators; unique 33.4%; 3,443.3 calendar new/day and 7,785.9 active-runtime new/day.
Current best observed GMV efficiency by new/page: G1 Low (8.72 new/page). Evidence is early and execution-order-confounded.
Conclusion: SUPPORTED — removing GMV All improved/changed the observed matched-period new/page rate by +5.7% and unique rate by +2.1 pp; rate conclusions retain active-time and ordering limitations below.

============================================================
BEFORE VS AFTER — MATCHED WINDOWS
============================================================
Metric                      Old GMV All       Specific GMV      Change          
--------------------------  ----------------  ----------------  ----------------
Committed successful page…  1,512             3,347             +121.4%         
Marketplace attempts        18,540            28,905            +55.9%          
Rows returned               30,026            66,114            +120.2%         
New unique creators         10,034            23,488            +134.1%         
Unique rate                 33.4%             35.5%             +2.1 pp         
Duplicate rate              66.6%             64.5%             -2.1 pp         
New / page                  6.64              7.02              +5.7%           
New / attempt               0.54              0.81              +50.1%          
New / hour calendar         143.47            335.84            +134.1%         
New / hour active           324.41            370.71            +14.3%          
New / day calendar          3,443.29          8,060.18          +134.1%         
New / day active            7,785.85          8,897.06          +14.3%          
Throttle %                  90.7%             87.7%             -3.1 pp         
Strict 24h before vs first 24h after:
Metric                    24h before        First 24h after     Change          
------------------------  ----------------  ------------------  ----------------
New creators              2,074             7,525               +262.8%         
Unique rate               37.6%             40.3%               +2.8 pp         
New/page                  7.43              7.91                +6.4%           
New/day calendar          2,074.00          7,525.00            +262.8%         
Historical GMV-All baseline (all durable executed GMV-All partitions, not time-matched): 95,544 new from 272,741 rows / 13,851 pages; unique 35.0%, new/page 6.90. It is contextual only, not used as the causal matched comparison.

============================================================
DAILY FETCH RATE (WIB)
============================================================
Date           Active     Pages   Attempt…  Rows     New      Dup      Unique    Dup %     Throttl…  Thr %     New/Page   New/Hr    New/Day  
-------------  ---------  ------  --------  -------  -------  -------  --------  --------  --------  --------  ---------  --------  ---------
2026-08-26*    11h 14m    379     4,292     7,362    3,945    3,417    53.6%     46.4%     3,881     90.4%     10.41      351.31    8,431.56 
2026-08-27     21h 20m    797     9,093     15,701   4,689    11,012   29.9%     70.1%     8,266     90.9%     5.88       219.72    5,273.40 
2026-08-28     20h 4m     1,341   10,027    26,549   8,808    17,741   33.2%     66.8%     8,616     85.9%     6.57       438.85    10,532.4…
2026-08-29*    10h 42m    830     5,493     16,502   6,046    10,456   36.6%     63.4%     4,581     83.4%     7.28       565.19    13,564.4…
* PARTIAL DAY. Rates are normalized to its observed calendar/active span, not presented as a full 24-hour count.
Most recent complete 24h ending 29/08/2026 10:41:51 WIB: 13,268 new; 13,268.0 calendar new/day; 13,932.5 active-runtime new/day.

============================================================
GMV PERFORMANCE — POST CHANGE
============================================================
GMV             Partition…  Pages    Attempts   Rows      New       Dup       Unique %   Dup %     Rows/Pg   New/Pg    New/Attemp…  New share   Attempt s…
--------------  ----------  -------  ---------  --------  --------  --------  ---------  --------  --------  --------  -----------  ----------  ----------  -----------
G1 Low          85          1,697    14,265     33,455    14,790    18,665    44.2%      55.8%     19.71     8.72      1.04         63.0%       49.4%     
G2 Medium       62          1,113    9,156      22,095    7,386     14,709    33.4%      66.6%     19.85     6.64      0.81         31.4%       31.7%     
G3 High         30          499      5,025      9,934     1,308     8,626     13.2%      86.8%     19.91     2.62      0.26         5.6%        17.4%     
G4 Very High    13          38       459        630       4         626       0.6%       99.4%     16.58     0.11      0.01         0.0%        1.6%      

============================================================
FOLLOWER RANGE PERFORMANCE — EXACT OBSERVED RANGES
============================================================
Follower range        Pages    Attempts   Rows      New       Dup       Unique %   Dup %     New/Page   New/Attemp…  Share new 
--------------------  -------  ---------  --------  --------  --------  ---------  --------  ---------  -----------  ----------
600–799               62       958        1,206     798       408       66.2%      33.8%     12.87      0.83         3.4%      
800–999               62       281        1,219     785       434       64.4%      35.6%     12.66      2.79         3.3%      
1,000–1,124           41       136        801       272       529       34.0%      66.0%     6.63       2.00         1.2%      
1,000–1,249           61       345        1,204     214       990       17.8%      82.2%     3.51       0.62         0.9%      
1,000–1,499           64       481        1,249     494       755       39.6%      60.4%     7.72       1.03         2.1%      
1,125–1,249           41       595        803       314       489       39.1%      60.9%     7.66       0.53         1.3%      
1,250–1,374           41       318        801       198       603       24.7%      75.3%     4.83       0.62         0.8%      
1,250–1,499           61       409        1,201     290       911       24.1%      75.9%     4.75       0.71         1.2%      
1,375–1,499           40       191        800       248       552       31.0%      69.0%     6.20       1.30         1.1%      
1,500–1,624           20       99         399       124       275       31.1%      68.9%     6.20       1.25         0.5%      
1,500–1,749           60       934        1,200     171       1,029     14.2%      85.8%     2.85       0.18         0.7%      
1,500–1,999           64       1,003      1,252     596       656       47.6%      52.4%     9.31       0.59         2.5%      
1,625–1,749           20       277        400       143       257       35.8%      64.3%     7.15       0.52         0.6%      
1,750–1,874           61       943        1,201     519       682       43.2%      56.8%     8.51       0.55         2.2%      
1,750–1,999           61       1,061      1,201     470       731       39.1%      60.9%     7.70       0.44         2.0%      
1,875–1,999           59       927        1,173     585       588       49.9%      50.1%     9.92       0.63         2.5%      
2,000–2,124           21       172        401       117       284       29.2%      70.8%     5.57       0.68         0.5%      
2,000–2,249           21       331        402       142       260       35.3%      64.7%     6.76       0.43         0.6%      
2,000–2,499           61       638        1,200     130       1,070     10.8%      89.2%     2.13       0.20         0.6%      
2,000–2,999           67       813        1,307     316       991       24.2%      75.8%     4.72       0.39         1.3%      
2,125–2,249           21       118        401       116       285       28.9%      71.1%     5.52       0.98         0.5%      
2,250–2,374           20       362        400       99        301       24.8%      75.3%     4.95       0.27         0.4%      
2,250–2,499           20       228        400       126       274       31.5%      68.5%     6.30       0.55         0.5%      
2,375–2,499           20       197        400       111       289       27.8%      72.3%     5.55       0.56         0.5%      
2,500–2,624           63       960        1,241     527       714       42.5%      57.5%     8.37       0.55         2.2%      
2,500–2,749           40       651        800       95        705       11.9%      88.1%     2.38       0.15         0.4%      
2,500–2,999           61       756        1,201     168       1,033     14.0%      86.0%     2.75       0.22         0.7%      
2,625–2,749           64       1,062      1,225     504       721       41.1%      58.9%     7.88       0.47         2.1%      
2,750–2,874           21       159        401       91        310       22.7%      77.3%     4.33       0.57         0.4%      
2,750–2,999           41       507        801       106       695       13.2%      86.8%     2.59       0.21         0.5%      
2,875–2,999           20       96         400       83        317       20.8%      79.3%     4.15       0.86         0.4%      
3,000–3,124           52       343        1,033     398       635       38.5%      61.5%     7.65       1.16         1.7%      
3,000–3,249           60       394        1,200     517       683       43.1%      56.9%     8.62       1.31         2.2%      
3,000–3,499           60       609        1,200     417       783       34.8%      65.3%     6.95       0.68         1.8%      
3,000–3,999           66       633        1,299     547       752       42.1%      57.9%     8.29       0.86         2.3%      
3,125–3,249           50       348        998       414       584       41.5%      58.5%     8.28       1.19         1.8%      
3,250–3,374           40       601        800       385       415       48.1%      51.9%     9.63       0.64         1.6%      
3,250–3,499           58       372        1,150     569       581       49.5%      50.5%     9.81       1.53         2.4%      
3,375–3,499           40       350        800       406       394       50.7%      49.3%     10.15      1.16         1.7%      
3,500–3,624           39       76         761       149       612       19.6%      80.4%     3.82       1.96         0.6%      
3,500–3,749           41       373        801       106       695       13.2%      86.8%     2.59       0.28         0.5%      
3,500–3,999           61       645        1,201     157       1,044     13.1%      86.9%     2.57       0.24         0.7%      
3,625–3,749           39       123        762       149       613       19.6%      80.4%     3.82       1.21         0.6%      
3,750–3,874           21       177        399       60        339       15.0%      85.0%     2.86       0.34         0.3%      
3,750–3,999           40       362        800       130       670       16.3%      83.8%     3.25       0.36         0.6%      
3,875–3,999           36       222        710       130       580       18.3%      81.7%     3.61       0.59         0.6%      
4,000–4,124           35       83         690       285       405       41.3%      58.7%     8.14       3.43         1.2%      
4,000–4,249           40       120        800       354       446       44.3%      55.8%     8.85       2.95         1.5%      
4,000–4,499           60       171        1,200     409       791       34.1%      65.9%     6.82       2.39         1.7%      
4,000–4,999           64       226        1,280     548       732       42.8%      57.2%     8.56       2.42         2.3%      
4,125–4,249           36       82         709       306       403       43.2%      56.8%     8.50       3.73         1.3%      
4,250–4,374           33       96         652       242       410       37.1%      62.9%     7.33       2.52         1.0%      
4,250–4,499           40       152        800       429       371       53.6%      46.4%     10.73      2.82         1.8%      
